Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	TIM3uffreqParameter.1	TIM3uffreqParameter.2	TIM3uffreqParameter.3	TIM3uffreqParameter.4	RateAC-Standard_TIM3uf	RateAG-Standard_TIM3uf	RateAT-Standard_TIM3uf	RateCG-Standard_TIM3uf	RateCT-Standard_TIM3uf	RateGT-Standard_TIM3uf	clockRate	popSize	CoalescentConstant	proportionInvariant	
619	-11611.652238252414	-11476.533983247098	-135.11825500531668	-11476.533983247098	98.30238735009547	621.283824512716	0.30712761285292767	0.19860324561712214	0.25131859906887277	0.24295054246107736	0.08085663857454936	2.3340663910008588	0.2678348323252292	0.08085663857454936	2.9685506671995827	0.2678348323252292	1.0965267321634328E-4	97.58760072041413	-105.75271163152819	0.8322331399742489	
620	-11606.810128804615	-11476.521780577477	-130.28834822713677	-11476.521780577477	76.06617952046649	480.28132470494137	0.30712761285292767	0.19860324561712214	0.2545288276512018	0.23974031387874833	0.0860273333911917	2.3068956103750207	0.25353429036186803	0.0860273333911917	3.0139811421188583	0.25353429036186803	1.332434318928507E-4	102.52297945436358	-101.92830120989032	0.8322331399742489	
621	-11598.27804560693	-11476.509991224137	-121.76805438279388	-11476.509991224137	67.36957826532651	389.5253057712521	0.30025518562815295	0.2025591969504854	0.25404138071076193	0.2431442367105996	0.10681758507034192	2.2578308448438906	0.23582595705758164	0.10681758507034192	3.056882070900261	0.23582595705758164	1.8713547909804805E-4	60.26585551433541	-95.71988317255379	0.8322331399742489	
622	-11601.469339687852	-11476.494549809204	-124.97478987864872	-11476.494549809204	66.89675943518436	423.9103550175833	0.29665135891506234	0.19632957229425582	0.25307406492313145	0.2539450038675504	0.13358882378574718	2.1726732270493954	0.3510454189492048	0.13358882378574718	2.8580582874806995	0.3510454189492048	1.6435771227925683E-4	58.15613977507523	-98.29059086044109	0.7374185817667761	
623	-11601.469339687852	-11476.494549809204	-124.97478987864872	-11476.494549809204	66.89675943518436	423.9103550175833	0.29665135891506234	0.19632957229425582	0.25307406492313145	0.2539450038675504	0.13358882378574718	2.1726732270493954	0.3510454189492048	0.13358882378574718	2.8580582874806995	0.3510454189492048	1.6435771227925683E-4	58.15613977507523	-98.29059086044109	0.7374185817667761	
624	-11601.469339687852	-11476.494549809204	-124.97478987864872	-11476.494549809204	66.89675943518436	423.9103550175833	0.29665135891506234	0.19632957229425582	0.25307406492313145	0.2539450038675504	0.13358882378574718	2.1726732270493954	0.3510454189492048	0.13358882378574718	2.8580582874806995	0.3510454189492048	1.6435771227925683E-4	58.15613977507523	-98.29059086044109	0.7374185817667761	
625	-11609.299617232871	-11476.471864466585	-132.82775276628652	-11476.471864466585	87.36243875274097	552.7346554480334	0.30938487722318475	0.19236639239808434	0.25419326370362055	0.24405546667511033	0.10507863434699183	2.26813891517898	0.25353429036186803	0.10507863434699183	3.0146352354032984	0.25353429036186803	1.332434318928507E-4	68.41824258329456	-104.87215321878712	0.8322331399742489	
626	-11602.497277965711	-11476.468497483105	-126.02878048260624	-11476.468497483105	71.14032375623208	440.7837463417685	0.3089599747714183	0.19650879642689487	0.24970316172440393	0.2448280670772829	0.06169207737606906	2.126365113626858	0.3269083688586712	0.06169207737606906	3.0964339939036605	0.3269083688586712	1.6435771227925683E-4	77.7861414882608	-99.05374963756915	0.7374185817667761	
627	-11602.497277965711	-11476.468497483105	-126.02878048260624	-11476.468497483105	71.14032375623208	440.7837463417685	0.3089599747714183	0.19650879642689487	0.24970316172440393	0.2448280670772829	0.06169207737606906	2.126365113626858	0.3269083688586712	0.06169207737606906	3.0964339939036605	0.3269083688586712	1.6435771227925683E-4	77.7861414882608	-99.05374963756915	0.7374185817667761	
628	-11600.87952263947	-11476.408620144544	-124.47090249492574	-11476.408620144544	67.78277621535541	414.214724578684	0.30473958382040334	0.20063917324314434	0.2537722997591197	0.24084894317733263	0.11037722796951843	2.129765906855417	0.3914627019626277	0.11037722796951843	2.86655423328029	0.3914627019626277	1.6435771227925683E-4	50.986364941573875	-97.91827669234297	0.7374185817667761	
