Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	RateAC-Standard_TPM3	RateAG-Standard_TPM3	RateAT-Standard_TPM3	RateCG-Standard_TPM3	RateCT-Standard_TPM3	RateGT-Standard_TPM3	proportionInvariant	fastUcldStdev	fastRatesStat.mean	fastRatesStat.variance	fastRatesStat.coefficientOfVariation	fastUcldMean	popSize	CoalescentConstant	
268	-3483.997100833951	-3435.0417831452482	-48.95531768870315	-3435.0417831452482	45.44832129370279	197.86293185632718	0.1217046813989601	2.3613822717991395	0.5169130468019	0.1217046813989601	2.3613822717991395	0.5169130468019	0.7324695937213953	0.10792519292725056	4.498897562029857E-4	2.744146325599665E-9	0.11384832648397351	4.7098749784812484E-4	28.894924857297784	-79.32291784540394	
269	-3483.997100833951	-3435.0417831452482	-48.95531768870315	-3435.0417831452482	45.44832129370279	197.86293185632718	0.1217046813989601	2.3613822717991395	0.5169130468019	0.1217046813989601	2.3613822717991395	0.5169130468019	0.7324695937213953	0.10792519292725056	4.498897562029857E-4	2.744146325599665E-9	0.11384832648397351	4.7098749784812484E-4	28.894924857297784	-79.32291784540394	
270	-3336.6800934650764	-3435.030288353612	98.35019488853527	-3435.030288353612	105.55239075635612	466.59023445099166	0.15868481117656746	2.3399007878634137	0.5014144009600187	0.15868481117656746	2.3399007878634137	0.5014144009600187	0.7165393235170792	0.0017018696830790065	2.3959433976166104E-4	1.5312430915805015E-13	0.0016329602976540242	2.395911111881798E-4	49.11509871638395	-95.60423800829103	
271	-3529.2784414487387	-3435.029489331561	-94.24895211717777	-3435.029489331561	65.70997664236083	298.23322442182877	0.10688156509948792	2.2437389412896613	0.6493794936108516	0.10688156509948792	2.2437389412896613	0.6493794936108516	0.8071309884798614	0.29186863140791747	3.241136897909741E-4	1.2419384590644222E-8	0.3089551303872288	3.6666811248502374E-4	53.98842811935388	-89.3217047470243	
272	-3529.2784414487387	-3435.029489331561	-94.24895211717777	-3435.029489331561	65.70997664236083	298.23322442182877	0.10688156509948792	2.2437389412896613	0.6493794936108516	0.10688156509948792	2.2437389412896613	0.6493794936108516	0.8071309884798614	0.29186863140791747	3.241136897909741E-4	1.2419384590644222E-8	0.3089551303872288	3.6666811248502374E-4	53.98842811935388	-89.3217047470243	
273	-3487.811661009547	-3435.0172010358983	-52.79445997364885	-3435.0172010358983	92.92107564202323	395.33741109766316	0.14111040307246495	2.319291200013142	0.5395983969143923	0.14111040307246495	2.319291200013142	0.5395983969143923	0.7324695937213953	0.09513774731575299	2.557163311681428E-4	5.446247986363727E-10	0.08960531442799284	2.6541914632088E-4	49.92970995972533	-91.87394953250211	
274	-3533.417928841012	-3435.011098002385	-98.40683083862676	-3435.011098002385	99.3465582976007	407.059594948658	0.13694278180423067	2.3039739386676694	0.5590832795281004	0.13694278180423067	2.3039739386676694	0.5590832795281004	0.5811994964677462	0.2627197488527981	2.3653582853467773E-4	5.597766455203204E-9	0.30990636387899884	2.4015634681746198E-4	42.76640771993437	-91.88589328883523	
275	-3533.417928841012	-3435.011098002385	-98.40683083862676	-3435.011098002385	99.3465582976007	407.059594948658	0.13694278180423067	2.3039739386676694	0.5590832795281004	0.13694278180423067	2.3039739386676694	0.5590832795281004	0.5811994964677462	0.2627197488527981	2.3653582853467773E-4	5.597766455203204E-9	0.30990636387899884	2.4015634681746198E-4	42.76640771993437	-91.88589328883523	
276	-3500.1315604067777	-3434.9954052901126	-65.13615511666521	-3434.9954052901126	109.0317864966081	509.129961809443	0.047288215639642764	2.4570729808689027	0.4956388034914543	0.047288215639642764	2.4570729808689027	0.4956388034914543	0.7799081523191923	0.09879115374830665	2.174114759329411E-4	4.729036171099223E-10	0.1009809572914901	2.1352988771439378E-4	59.52658603596227	-100.30694583488147	
277	-3500.1315604067777	-3434.9954052901126	-65.13615511666521	-3434.9954052901126	109.0317864966081	509.129961809443	0.047288215639642764	2.4570729808689027	0.4956388034914543	0.047288215639642764	2.4570729808689027	0.4956388034914543	0.7799081523191923	0.09879115374830665	2.174114759329411E-4	4.729036171099223E-10	0.1009809572914901	2.1352988771439378E-4	59.52658603596227	-100.30694583488147	
